Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23014","Food price inflation","7009","September","%","3.887856","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2001","2001","23014","Food price inflation","7010","October","%","12.457791","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2002","2002","23014","Food price inflation","7010","October","%","17.165499","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2003","2003","23014","Food price inflation","7010","October","%","4.554883","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2004","2004","23014","Food price inflation","7010","October","%","21.43949","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2005","2005","23014","Food price inflation","7010","October","%","10.496711","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2006","2006","23014","Food price inflation","7010","October","%","4.946501","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2007","2007","23014","Food price inflation","7010","October","%","15.746259","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2008","2008","23014","Food price inflation","7010","October","%","43.290432","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2009","2009","23014","Food price inflation","7010","October","%","-19.852365","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23014","Food price inflation","7010","October","%","6.136953","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2011","2011","23014","Food price inflation","7010","October","%","8.36329","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2012","2012","23014","Food price inflation","7010","October","%","2.141406","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2013","2013","23014","Food price inflation","7010","October","%","8.809451","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2014","2014","23014","Food price inflation","7010","October","%","5.936759","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23014","Food price inflation","7010","October","%","-0.110944","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23014","Food price inflation","7010","October","%","6.557299","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23014","Food price inflation","7010","October","%","5.435571","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23014","Food price inflation","7010","October","%","-0.850959","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23014","Food price inflation","7010","October","%","2.846178","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23014","Food price inflation","7010","October","%","9.750869","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2001","2001","23014","Food price inflation","7011","November","%","11.204372","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2002","2002","23014","Food price inflation","7011","November","%","17.007124","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2003","2003","23014","Food price inflation","7011","November","%","5.035287","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2004","2004","23014","Food price inflation","7011","November","%","19.566328","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2005","2005","23014","Food price inflation","7011","November","%","12.621946","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2006","2006","23014","Food price inflation","7011","November","%","5.13326","Fc","Calculated data",""
